FID,osm_id,amenity,name,operator,ref-FR-GendarmerieNationale,official_name,police-FR,seasonal,emergency,military,office,phone,contact-phone,emergency_phone,fax,contact-fax,email,contact-email,opening_hours,wheelchair,short_name,alt_name,old_name,operator-type,website,contact-website,url,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,addr-full,wikidata,wikipedia,description,source,note,osm_version,osm_timestamp,the_geom,osm_original_geom,osm_type
police_point.1027524404,1027524404,police,Valico di Zenna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2025-02-23T07:31:24Z,POINT (2701878.9427519413 1106689.5746809156),"SRID=3857;POLYGON((974700.1364428553 5797064.219584466,974727.3985861507 5796986.528160018,974774.9542726176 5797003.225577464,974747.6698654242 5797080.917148479,974700.1364428553 5797064.219584466))",way
police_point.1027856079,1027856079,police,Wache Langnau,,,,,,,,,,,,,,,,,,,,,,,,,,19,Dorfstrasse,Langnau im Emmental,3550,,,,,,,3,2019-08-27T13:08:59Z,POINT (2626516.4814091134 1198823.1160455577),,node
police_point.1033559314,1033559314,police,Carabinieri,Arma dei Carabinieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2025-07-23T20:13:31Z,POINT (2810691.5163061274 1167346.1663711574),"SRID=3857;POLYGON((1134340.2567159506 5880934.141033961,1134348.8171847926 5880918.629167041,1134377.904967737 5880934.692135276,1134369.3444988949 5880950.204030591,1134340.2567159506 5880934.141033961))",way
police_point.1033559315,1033559315,police,,Guardia di Finanza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022-02-20T16:29:26Z,POINT (2810670.1807531994 1167339.394392859),"SRID=3857;POLYGON((1134315.4213375545 5880919.698950085,1134337.9746663894 5880916.554436656,1134340.0674728162 5880931.580034187,1134317.5141439815 5880934.724553,1134315.4213375545 5880919.698950085))",way
police_point.1039048827,1039048827,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Police municipale,,,3,2017-08-07T08:57:27Z,POINT (2570516.8968093055 1127131.9736380137),,node
police_point.1044687364,1044687364,police,Polizeiposten Sörenberg,Luzerner Polizei,,,,,,,,+41 41 289 25 50,,,,,,,,,,Lupol,,,,,,,32,Rothornstrasse,Sörenberg,6174,,,,,,,2,2025-04-12T07:46:25Z,POINT (2645587.9683452933 1185596.6225818717),"SRID=3857;POLYGON((894548.8228975544 5912740.529076016,894557.3611024983 5912732.671724454,894558.452033508 5912734.070755474,894562.8602853434 5912729.987537648,894563.6951815243 5912730.752124107,894570.6081219027 5912724.326346359,894578.1667153274 5912721.544555432,894584.7568291824 5912729.3042902285,894580.2817856525 5912733.241097517,894581.0164942917 5912734.119558889,894572.21112257 5912742.367339409,894560.2108814624 5912753.624677642,894549.4462867029 5912741.11471741,894548.8228975544 5912740.529076016))",way
police_point.1049727155,1049727155,police,Police régionale,Police Régionale des Villes du Centre,,,,,,,,+41 27 327 61 19,,,,,,,"Mo-Fr 08:00-12:00,13:30-17:00",,,,,,https://prvc.ch,,,,11,Place de la Gare,Sion,,,,,,,,8,2025-07-25T10:53:01Z,POINT (2593780.1818953184 1119556.2304334694),,node
police_point.1053034737,1053034737,police,Stadtpolizei Winterthur,,,,,,,,,+41 52 267 51 52,,,,,,,24/7,,,POM Polizeigebäude Obermühlestrasse,,,,,,,5,Obermühlestrasse,Winterthur,8400,,Q2327943,de:Stadtpolizei Winterthur,,,,6,2023-06-04T13:39:53Z,POINT (2697662.5078488123 1261362.5499142492),"SRID=3857;POLYGON((972297.3942896752 6023384.513150428,972310.9307397557 6023351.626998533,972314.470699563 6023343.043008514,972315.0050331187 6023341.741406165,972316.9753881058 6023342.581681076,972344.6939413134 6023354.329062409,972343.0130170023 6023358.859964101,972352.9093197337 6023362.880111589,972358.3528428337 6023360.276901116,972386.9619519676 6023346.618296986,972400.6542493352 6023371.068696469,972400.6653812842 6023371.085172504,972401.0549995019 6023371.7771659475,972371.6109941871 6023391.103576664,972371.5553344417 6023391.136528809,972343.6252742017 6023409.474416302,972341.0092661682 6023411.187931584,972332.6157765624 6023398.270670895,972324.3224744983 6023395.024882659,972297.3942896752 6023384.513150428))",way
police_point.1067893581,1067893581,police,Poste de Police,,,,,,,,,+41 22 427 76 70,,,,,,,,,,,,,,,,,3,Place du Bourg-de-Four,Genève,1204,,,,,,,3,2024-07-12T13:55:16Z,POINT (2500487.1786484127 1117365.1456593634),,node
police_point.1086472131,1086472131,police,Polizeiposten Littau / Reussbühl,Luzerner Polizei,,,,,,,,+41 41 289 26 30,,,,,,,"07:30-12:00,13:30-18:00",yes,,Lupol,,,https://polizei.lu.ch/kontakt_standorte/standorte/polizeiposten/polizeiposten_reussbuehl,,,,1,Ruopigenplatz,Luzern,6015,,,,,,,7,2023-01-15T23:50:59Z,POINT (2663520.7128408193 1212750.8825740537),,node
police_point.1086473381,1086473381,police,Polizeiposten Emmen,Luzerner Polizei,,,,,,,,+41 41 289 26 00,,,,,,,,,,LUPOL,,,,,,,45,Rüeggisingerstrasse,Emmenbrücke,6021,,,,,,,10,2023-01-17T11:37:48Z,POINT (2663879.7199043557 1214671.8899021524),,node
police_point.1096413767,1096413767,police,Polizeiposten Horw,Luzerner Polizei,,,,,,,,+41 41 289 24 50,,,,,,,,yes,,LUPOL,,,,,,,16,Gemeindehausplatz,Horw,6048,,,,,,,8,2023-01-14T22:41:00Z,POINT (2666240.8247798802 1207939.1036715964),,node
police_point.1102204184,1102204184,police,Regionalpolizei,,,,,,,,,+41 56 621 17 17,,,,,,,,,,,,,,,,,1,Kapellstrasse,Wohlen (AG),5610,,,,,,,4,2017-06-10T19:27:51Z,POINT (2663340.973893359 1244957.4807508732),,node
police_point.1103309911,1103309911,police,Police municipale,,,,,,,,,+41 27 747 11 58,,,,,,,,,,,,,,,,,46,Rue de l'Eglise,Fully,1926,,,,,,,4,2024-12-06T09:18:47Z,POINT (2574968.7668204005 1109748.6099797296),,node
police_point.1111323567,1111323567,police,Polizeiposten Root,Luzerner Polizei,,,,,,,,+41 41 289 25 40,,,,,,,,,,Lupol,,,,,,,23,Luzernerstrasse,Root,6037,,,,,,,4,2023-01-15T22:00:43Z,POINT (2671947.0129053304 1218259.8639343907),,node
police_point.1117446469,1117446469,police,Schwerverkehrskontrollzentrum Unterrealta,,,,,,,,,+41 81 257 77 00,,,,,,,,,,,,,https://www.gr.ch/DE/institutionen/verwaltung/djsg/kapo/ueberuns/standort/Seiten/SVKZ_Unterrealta.aspx,,,,2,Industriezone,,7408,,,,,,,3,2025-08-29T16:41:21Z,POINT (2751255.607059251 1181031.3024176543),"SRID=3857;POLYGON((1048438.0446928801 5903564.047956963,1048462.9468629704 5903443.630612416,1048571.516762341 5903483.7045407705,1048522.9258046098 5903601.603556688,1048448.3417457783 5903572.092089604,1048438.0446928801 5903564.047956963))",way
police_point.1151269728,1151269728,police,Police cantonale,,,,,,,,,,,,,,,,"Mo 17:00-18:00, Fr 17:00-18:00",,,,,,,,,,25,Rte du Léman,Saxon,1907,,,,,,,5,2023-02-07T14:56:46Z,POINT (2578839.1057603047 1110349.339160001),,node
police_point.1152501760,1152501760,police,Regionalwache Wiedikon,Stadtpolizei Zürich,,,,,,,,,,,,,,,24/7,yes,,,,,,,,,87,Zurlindenstrasse,Zürich,8003,,,,,,,12,2025-08-27T13:28:51Z,POINT (2681623.5023764973 1247182.8635323728),,node
police_point.1166423434,1166423434,police,Polizeiposten Höfe,Kantonspolizei Schwyz,,,,,,,,+41 41 819 58 58,,,,,,,,,,,,,,,,,6,Eichenstrasse,Pfäffikon (SZ),8808,,,,,,,4,2025-02-18T15:28:24Z,POINT (2700465.2868298567 1228273.8671325976),,node
police_point.1180696686,1180696686,police,Polizeiposten Aadorf,Kantonspolizei Thurgau,,,,,,,,+41 58 345 22 70,,,,,,,"Mo-Fr 09:00-11:30,14:00-16:30; PH off",,,,,,https://kapo.tg.ch/ueber-uns/aussendienst/polizeiposten-aadorf.html/2174,,,,1,,Aadorf,8355,,,,,,,8,2025-09-08T06:44:40Z,POINT (2710163.1181660197 1261009.721778034),,node
police_point.1183450550,1183450550,police,Dogana di Brusino Arsizio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2025-07-28T09:43:04Z,POINT (2714715.535120671 1085734.1122411827),"SRID=3857;POLYGON((992631.7026588174 5766503.041503248,992636.5895844634 5766483.185422369,992659.2319688906 5766489.025441548,992653.354299777 5766508.865535394,992644.5044002588 5766506.481521774,992631.7026588174 5766503.041503248))",way
police_point.1209204975,1209204975,police,,,,,,,,,,,,,,,,,,yes,,,,,,,,,31,Grand-Rue,Le Sentier,1347,,,,,,,6,2024-05-04T16:35:49Z,POINT (2507443.7207362163 1162525.0896995577),,node
police_point.1258114496,1258114496,police,Verkehrspolizei der Stadtpolizei Zürich,Stadtpolizei Zürich,,,,,,,,,,,,,,,,,,,,,,,,,1,Bahnhofbrücke,Zürich,8001,,,,,,,6,2025-05-29T12:27:25Z,POINT (2683341.0738923913 1247845.1490813084),,node
police_point.1261933590,1261933590,police,Polizia Comunale,,,,,,,,,+41 91 821 88 88,,,,,,,,,,,,,,,,,1a,Vicolo Muggiasca,Bellinzona,6500,,,,,,,5,2025-05-18T06:01:43Z,POINT (2722220.900919931 1116714.0861244586),,node
police_point.1262293041,1262293041,police,Police cantonale vaudoise Gendarmerie,,,,,,,,,+41 21 557 44 21,,,,,,,,,,,,,,,,,1,Place de la Croix-Blanche,Epalinges,1066,,,,,,,3,2025-08-14T05:53:36Z,POINT (2541131.7086339137 1155459.0163940212),,node
police_point.1270141283,1270141283,police,Kantonspolizei,,,,,,,,,,,,,,,,,,,,,,,,,,28,Untere Zollgasse,Ostermundigen,3072,,,,,,,3,2025-10-28T11:42:10Z,POINT (2603802.72108431 1201150.8809543164),,node
police_point.1275352996,1275352996,police,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Länzert,Schafisheim,5503,,Q56704501,de:Kantonspolizei Aargau,,,,1,2024-04-23T17:15:08Z,POINT (2653224.8625554196 1249278.6178423434),"SRID=3857;POLYGON((906399.7845679155 6006286.426072105,906658.9920022276 6006253.095046892,906638.8097785468 6006389.725110593,906625.0952172811 6006400.364225092,906498.5360881983 6006382.177431413,906406.9535431226 6006349.766883772,906399.7845679155 6006286.426072105))",way
police_point.1315120071,1315120071,police,Pulizia chantunela,,,,,,,,,,,,,,,,,,,,,,,,,Pulizia chantunela,20,Via vers Chardens,Silvaplana,7513,,,,,,,8,2022-08-13T13:01:11Z,POINT (2780739.949565961 1147762.2065068188),,node
police_point.1336904777,1336904777,police,Polizeiposten Rothenburg,Luzerner Polizei,,,,,,,,+41 41 289 25 90,,,,,,,,,,Lupol,,,,,,,6,Bärenmatte,Rothenburg,6023,,,,,,,6,2025-12-23T09:13:08Z,POINT (2663182.2875933135 1216260.5893741692),,node
police_point.1361435149,1361435149,police,Polizeistützpunkt Näfels,,,,,,,,,,,,,,,,,limited,,,,,,,,,10,Bahnhofstrasse,,8752,,,,,,,5,2023-11-15T14:47:07Z,POINT (2723451.9589815754 1217771.8905728399),,node
police_point.1362649058,1362649058,police,Quartierwache Hottingen,Stadtpolizei Zürich,,,,,,,,,+41 44 411 81 83,,,+41 44 262 06 20,,,"Mo,We 08:00-11:30; Tu,Fr 08:00-11:30,13:30-16:30; Th 13:30-16:30",no,,,,,https://www.stadt-zuerich.ch/de/stadtleben/notfall/standorte-der-stadtpolizei/quartierwachen/hottingen.html,,,,54,Gemeindestrasse,Zürich,8032,,,,,,,12,2026-03-27T10:11:11Z,POINT (2684402.9018719094 1247103.2072497227),,node
police_point.1387362529,1387362529,police,Grenzübergang Grenzach-Wyhlen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2025-01-29T14:41:15Z,POINT (2614776.364285089 1267966.7195783595),,node
police_point.1388447510,1388447510,police,Kommando Kantonspolizei Graubünden,Kantonspolizei Graubünden,,,,,,,,+41 81 257 71 11,,,,,,,,yes,,,,,https://www.kapo.gr.ch,,,,,,,,,,,,,,11,2024-08-13T16:45:17Z,POINT (2758370.370937174 1190561.2659136755),,node
police_point.1420179793,1420179793,police,Nouvel Hôtel de Police,,,,,,,,,+41 22 427 81 11,,,,,,,,,NHP,,,,,,,,5,Chemin de la Gravière,Les Acacias,1227,,,,,,,6,2025-11-09T04:02:39Z,POINT (2498921.4508832027 1117005.0964472655),,node
police_point.1420213601,1420213601,police,Polizeiposten Sursee,Luzerner Polizei,,,,,,,,+41 41 289 26 70,,,,,,,,yes,,Lupol,,,,,,,24,Centralstrasse,Sursee,6210,,,,,,,6,2023-01-15T00:30:59Z,POINT (2650362.1853677686 1224645.4518856553),,node
police_point.1426055326,1426055326,police,,Polizia cantunala,,,,,,,,+41 81 257 64 70,,,,,,,,,,,,,,,,,25,Via Sursilvana,Disentis/Mustér,7180,,,,,,,3,2017-11-05T19:09:06Z,POINT (2708401.006659062 1173744.465865359),,node
police_point.1434205133,1434205133,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2011-09-16T11:38:14Z,POINT (2553574.625950911 1165346.3312141367),,node
police_point.1435440452,1435440452,police,Polizeiposten Ermatingen,Kantonspolizei Thurgau,,,,,,,,+41 58 345 20 80,,,,,,,,,,,,,https://kapo.tg.ch/ueber-uns/aussendienst/polizeiposten-ermatingen.html/2144,,,,6,Fruthwilerstrasse,Ermatingen,8272,,,,,,,6,2023-11-09T11:15:03Z,POINT (2723275.1016030703 1281075.2036636777),,node
police_point.1464020823,1464020823,police,,Polizei Kanton Solothurn,,,,,,,,,,,,,,,,,,,,,,,,,233,Solothurnerstrasse,Olten,4600,,,,,,,4,2025-04-24T05:55:05Z,POINT (2634081.534286512 1244223.2353656883),,node
police_point.1467034190,1467034190,police,Centre de formation de la police,,,,,,,,,+41 22 427 67 10,,,,,,,Mo-Fr 10:00-17:00,,,,,,,,,,16,Rue de la Fontenette,Carouge GE,1227,,,,,,,5,2026-03-05T22:39:50Z,POINT (2500149.1323790285 1115564.3439895976),,node
police_point.1473459253,1473459253,police,Brigade de Sécurité Routière,,,,,,,,,,,,,,,,,,,,,,,,,,7,Chemin Le-Sapay,Grand-Lancy,,,,,,,,3,2019-08-09T08:23:08Z,POINT (2498947.1042587534 1114115.2047527856),,node
police_point.1478083511,1478083511,police,Poste de gendarmerie de Vallorbe,Police cantonale vaudoise,,,,,,,,+41 21 557 84 21,,,,,,,,,,,,,http://www.police.vd.ch,,,,2,Place du Pont,Vallorbe,1337,,,,,,,4,2017-11-10T20:53:53Z,POINT (2519001.252749309 1173895.5549277556),,node
police_point.1493008045,1493008045,police,Kantonspolizei,Kantonspolizei Thurgau,,,,,,,,+41 58 345 28 28,,,,,,,,limited,,,,,,,,,325,Zürcherstrasse,Frauenfeld,8500,,,,,,,7,2023-06-28T10:15:34Z,POINT (2710833.9364357423 1269401.7452796113),,node
police_point.1613225851,1613225851,police,Polizeiposten Olten-City,Kantonspolizei Solothurn,,,,,,,,+41 62 311 89 50,,,,,,,"Mo-Fr 08:00-12:00,13:30-17:30; Sa 09:00-16:00; PH off",yes,,,,,,,,,1,Dornacherstrasse,Olten,4600,,,,,,,7,2025-04-24T05:56:08Z,POINT (2634953.17672785 1244550.7231996125),,node
police_point.1621595268,1621595268,police,Kantonspolizei Bern,Kantonspolizei Bern,,,,,,,,,,,,,,,,,,,,,,,,,42,Sägestrasse,Köniz,3098,,,,,,,7,2024-03-30T02:41:42Z,POINT (2598054.228455569 1197199.5084334768),,node
police_point.1635090506,1635090506,police,Police des Pâquis,,,,,,,,,+41 22 427 67 30,,,,,,,,,,,,,,,,,6,Rue de Berne,Genève,1201,,,,,,,7,2024-08-08T04:24:57Z,POINT (2500168.3181383754 1118330.2128922075),,node
police_point.1638165538,1638165538,police,Kantonspolizei Aargau,,,,,,,,,+41 62 768 55 00,,,,,,,,,,,,,,,,,1,Zentrumsplatz,Unterkulm,5726,,,,,,,3,2025-08-26T09:45:45Z,POINT (2651062.4666726543 1240132.8799134283),,node
police_point.1639049000,1639049000,police,Polizeihauptposten Pratteln,Polizei Basel-Landschaft,,,,,,,,+41 61 553 48 17,,,,,,,,,,,,,,,,,16,Bahnhofstrasse,Pratteln,4133,,,,,,,5,2025-11-09T16:13:42Z,POINT (2619038.6985984887 1263354.7206663897),,node
police_point.1640520899,1640520899,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adelboden,3715,,,,,,,3,2017-11-04T20:53:28Z,POINT (2609335.804418531 1148999.5990899857),,node
police_point.1650211330,1650211330,police,Bureau Verbier,Municipale de Bagnes,,,,,,,,+41 27 775 35 45,,,,,,,,,,,,,http://bagnes.ch/fr/Pratique/Mobilite/Parkings/,,,,22a,Rue de la Poste,Verbier,1936,,,,,,Lu à Ve 14h00 à 17h00,4,2017-11-05T18:59:19Z,POINT (2583547.9114983617 1105074.6817731343),,node
police_point.1651603769,1651603769,police,,,,,,,,,,,,,,,,,Mo-Su 07:30 - 18:30,,,,,,,,,,7,Via Quadrellas,St. Moritz,7500,,,,,https://www.gemeinde-stmoritz.ch/dienstleistungen/gemeindepolizei/,,4,2019-08-27T16:55:30Z,POINT (2784149.020387537 1152434.4047821136),,node
police_point.1658851313,1658851313,police,Kantonspolizei,,,,,,,,,+41 27 606 69 20,,,,,,,,,,,,,,,,,3,Bahnhofplatz,Zermatt,3920,,,,,,,3,2020-08-26T15:25:16Z,POINT (2623922.789480004 1096941.0657724468),,node
police_point.1671830479,1671830479,police,Regionalpolizei Frutigen,,,,,,,,,+41 33 356 8401,,,,,,,"Mo-Fr 08:00-12:00,14:00-18:00;Sa 08:00-12:00",,,,,,,,,,2,Amthausgasse,Frutigen,3714,,,,,survey,,1,2012-03-12T11:42:42Z,POINT (2615908.808984182 1159686.1844154776),,node
police_point.1675814661,1675814661,police,"Kantonspolizei, Stützpunkt Aarau",Kantonspolizei Aargau,,,,,,,,+41 62 836 55 55,,,,,,,"Mo-Fr 08:00-11:45, 13:30-17:00",,,,,,https://www.ag.ch/de/verwaltung/dvi/kantonspolizei/organisation/pp-finder/stuetzpunkt-aarau,,,,12,Laurenzenvorstadt,Aarau,5000,,,,,,,8,2026-02-13T10:03:40Z,POINT (2645898.7738200976 1249365.0354819675),,node
police_point.1676161281,1676161281,police,Polizei Oberes Fricktal,Kantonspolizei Aargau,,,,,,,,+41 62 871 13 33,,,+41 62 871 13 34,,,,"Mo-Fr 09:00-11:45,15:00-17:45; Sa 09:00-11:45; Su off",,,,,,,,,,48,Hauptstrasse,Frick,5070,,,,,,,5,2018-12-27T13:13:44Z,POINT (2643843.101363669 1261998.2740934019),,node
police_point.1683181161,1683181161,police,Polizeiposten Stadtpolizei Dietikon,Stadt Dietikon,,,,,,,,+41 44 740 17 77,,,,,,,,,,KomPol Dietikon,,,,,,,22,Bremgartnerstrasse,Dietikon,8953,,,,Stadtpolizei und Fundbüro,,,8,2024-03-27T07:38:54Z,POINT (2672599.802810261 1250649.4205550463),,node
police_point.1700760168,1700760168,police,Uetendorf,,,,,,,,,+41 33 356 83 41,,,,,,,,,,,,,,,,,27,Unterbälliz,Uetendorf,3661,,,,,,,2,2017-05-13T17:09:13Z,POINT (2609884.493592018 1180374.3310764679),,node
police_point.1701730833,1701730833,police,Quartierwache Altstetten,Stadtpolizei Zürich,,,,,,,,,,,,,,,"Mo-Fr 08:30-11:30,13:30-16:30",,,,,,,,,,162,Altstetterstrasse,Zürich,8048,,,,,,,6,2025-01-07T08:49:39Z,POINT (2679088.3587370995 1248985.4073607302),,node
police_point.1722681336,1722681336,police,Polizeiwache Bümpliz,,,,,,,,,,+41 31 6348611,,,,,,Mo-Fr 07:00-18:00; Sa-Su off,,,,,,https://www.police.be.ch/police/de/index/ueber-uns/ueber-uns/polizeiwachen/bern.html,,,,100,Bernstrasse,Bern,3018,,,,,website,,10,2019-03-27T22:50:02Z,POINT (2596342.01060356 1198802.7098837863),,node
police_point.1724192493,1724192493,police,Polizei Brienz,Kantonspolizei Bern,,,,,,,,+41 33 356 83 01,,,,,,,,,,,,,,,,,107,Hauptstrasse,Brienz BE,3855,,,,,,,8,2024-02-18T12:26:20Z,POINT (2645392.2296124273 1178303.6018472265),,node
police_point.1732454452,1732454452,police,Kommando Kantonspolizei Aargau,Kantonspolizei Aargau,,,,,,,,+41 62 835 81 81,,,,,info@kapo.ag.ch,,,,,Kapo Argau,,,,,,,85,Tellistrasse,Aarau,5000,,,,,,,3,2025-03-16T11:05:21Z,POINT (2646999.155987774 1249950.5803578417),,node
police_point.1736676428,1736676428,police,"Kantonspolizei Polizeiposten (Speicher, Trogen)",,,,,,,,,+41 71 353 93 77,,,,,,,,,,,,,,,,,,Bahnhofgebäude,Speicher,9042,,,,,,,5,2017-11-11T20:24:29Z,POINT (2751265.54986614 1253050.9056551207),,node
police_point.1740248977,1740248977,police,Police municipale,,,,,,,,,+41 27 452 01 17,,,,,,,,,,,,,,,,,10,Rue du Bourg,Sierre / Siders,3960,,,,,,,6,2022-01-19T08:20:30Z,POINT (2607317.045605519 1126818.3909019234),,node
police_point.1752258863,1752258863,police,bureau des notifications,,,,,,,,,,,,,,,,,no,,,,,,,,,2,Escaliers du Marché,Lausanne,1003,,,,,,,4,2025-09-20T12:23:30Z,POINT (2538237.3194973646 1152608.3889156668),,node
police_point.1762476518,1762476518,police,,Kantonspolizei Bern,,,,,,,,+41 34 424 80 01,,,,,,,"Mo-Fr 08:00-12:00,14:00-17:00; PH off",,,,,,,,,,1,Dunantstrasse,Burgdorf,3400,,,,,,,5,2023-09-29T20:03:42Z,POINT (2613234.048565054 1212624.4934011174),,node
police_point.1768609478,1768609478,police,,,,,,,,,,+41 61 553 49 77,,,,,pol.oberdorf@bl.ch,,"Mo-Fr 09:00-17:00; PH,Tu,Th off",,,,,,,,,,63,Hauptstrasse,Oberdorf BL,4436,,,,,,,7,2025-03-01T08:10:29Z,POINT (2623424.394817967 1249418.4359101374),,node
police_point.1783503756,1783503756,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2012-06-11T13:07:16Z,POINT (2501584.4126911266 1144659.0792204773),,node
police_point.1788435443,1788435443,police,Polizeiposten Gossau,Kantonspolizei Zürich,,,,,,,,+41 44 936 64 00,,,,,,,"Mo-Fr 08:00-12:00, 13:00-17:00",,,Kapo Gossau,,,https://www.kapo.zh.ch/,,,,4,Berghofstrasse,Gossau,8625,,,,,,,11,2023-08-21T21:43:00Z,POINT (2700139.4692350174 1239798.8144991756),,node
police_point.1800668711,1800668711,police,Polizeiposten Gemeindepolizei Richterswil,Stadt Richterswil,,,,,,,,+41 44 787 11 50,,,,,,,,,,KomPol Richterswil,,,https://www.richterswil.ch/aemter/2894,,,,12,Poststrasse,Richterswil,8805,,,,,,,7,2023-05-13T14:33:47Z,POINT (2696006.6352893286 1229379.1286546558),,node
police_point.1829197450,1829197450,police,Poste de Police de Versoix,,,,,,,,,+41 22 427 63 10,,,,,,,,,,,,,,,,,5,Place Charles-David,Versoix,1290,,,,,,,3,2017-05-13T19:19:32Z,POINT (2502041.6775053674 1126084.1611084952),,node
police_point.1851138046,1851138046,police,Regional- und Kantonspolizei,,,,,,,,,,,,,,,,,yes,,,,,,,,,30,Untere Grabenstrasse,Zofingen,4800,,,,,,,3,2019-11-16T15:41:23Z,POINT (2638194.57782368 1237532.375600487),,node
police_point.1856710039,1856710039,police,Centre d’intervention de gendarmerie,,,,,,,,,+41 26 305 67 40,,,,,,,,,,Police FR Centre d’intervention de gendarmerie,,,,,,,9,Les Ponts d'Amont,Vaulruz,1627,,,,,,,3,2025-01-19T06:43:22Z,POINT (2564552.0486681922 1162704.0467851376),,node
police_point.1859886660,1859886660,police,Polizeiposten Opfikon- Glattbrugg,Kantonspolizei Zürich,,,,,,,,+41 44 829 80 90,,,,,,,,yes,,Kapo,,,,,,,4,Europastrasse,Glattbrugg,8152,,,,,,,6,2022-02-18T00:18:23Z,POINT (2684612.3954862137 1253926.3526707457),,node
police_point.1866418830,1866418830,police,Poste de police de Plainpalais,,,,,,,,,+41 22 427 63 50,,,,,,,Mo-Fr 10:00-17:00,,,,,,https://www.ge.ch/document/poste-police-plainpalais,,,,51,Rue de Carouge,Genève,1205,,,,,,,4,2025-02-18T08:12:58Z,POINT (2500050.2368433424 1116612.1769393154),,node
police_point.1873121036,1873121036,police,Polizeiposten Rümlang,Kantonspolizei Zürich,,,,,,,,+41 44 818 76 30,,,,,,,,,,Kapo,,,,,,,6,Lindenweg,Rümlang,8153,,,,,,,5,2023-12-20T08:11:50Z,POINT (2682538.588292438 1255868.2866407481),,node
police_point.1925281257,1925281257,police,Polizei Buchs,,,,,,,,,+41 58 229 54 30,,,,,,,,,,,,,,,,,1a,Ulmenstrasse,Buchs SG,9470,,,,,,,4,2026-03-26T12:28:41Z,POINT (2755031.247079322 1226094.0475133182),,node
police_point.1934913273,1934913273,police,Police,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,4,2024-07-12T05:55:58Z,POINT (2592868.4809519914 1246028.7365350544),,node
police_point.1939422052,1939422052,police,Police Cantonale,,,,,,phone,,,,,,,,,,Mo-Fr 06:30-19:00; Sa 08:00-16:30; Su off,yes,,,,,,,,,,,,,,,,,,,4,2022-10-08T15:39:27Z,POINT (2578002.2195412996 1183335.3937055576),,node
police_point.1975299882,1975299882,police,Police communale,,,,,,,,,+41 24 479 09 18,,,,,,,,,,,,,,,,,46,Rue du Village,Champéry,1874,,,,,,,5,2025-07-01T15:31:07Z,POINT (2556099.395272984 1114307.2510793163),,node
police_point.1976199301,1976199301,police,Gemeindepolizei,Gemeinde Naters,,,,,,,,+41 27 922 75 77,,,,,,,,yes,,,,,,,,,3,Kirchstrasse,Naters,3904,,,,,,,5,2025-11-24T15:45:24Z,POINT (2642273.852062508 1130555.4316392392),,node
police_point.2038180366,2038180366,police,Kommando Kantonspolizei Glarus,Kantonspolizei Glarus,,,,,,,,+41 55 645 66 66,,,,,,,,limited,,,,,,,,,12,Spielhof,Glarus,8750,,,,,,,8,2023-11-15T14:41:46Z,POINT (2723690.8067976637 1211438.5226397968),,node
police_point.2046200110,2046200110,police,Polizeiposten Malters,Luzerner Polizei,,,,,,,,+41 41 289 24 80,,,,,,,,,,Lupol,,,,,,,4,Hellbühlstrasse,Malters,6102,,,,,,,7,2022-02-16T23:53:40Z,POINT (2656636.883691508 1209905.8383287033),,node
police_point.2047021223,2047021223,police,Polizeiposten Romanshorn,Kantonspolizei Thurgau,,,,,,,,+41 58 345 22 00,,,,,,,"Mo-Fr 09:00-11:30, 14:00-16:30; PH off",,,,,,https://kapo.tg.ch/ueber-uns/aussendienst/polizeiposten-romanshorn.html/2157,,,,25,Alleestrasse,Romanshorn,8590,,,,,,,9,2024-07-13T16:06:57Z,POINT (2745859.9310312816 1270099.0479017138),,node
police_point.2077389807,2077389807,police,,,,,,,,,,+41 56 675 52 25,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2019-06-04T20:30:50Z,POINT (2668110.0720108454 1236268.4208596789),,node
police_point.2086964163,2086964163,police,Polizeiposten Hinwil,Kantonspolizei Zürich,,,,,,,,+41 44 938 90 30,,,,,,,,,,,,,,,,,25a,Untere Bahnhofstrasse,Hinwil,8340,,,,,,,6,2022-05-19T20:51:02Z,POINT (2705728.3370749215 1239776.8078352304),,node
police_point.2095071646,2095071646,police,Kantonspolizei Heiden,,,,,,,,,+41 71 353 93 11,,,,,,,,yes,,,,,,,,,21,Poststrasse,Heiden,9410,,,,,,,4,2019-02-04T11:17:03Z,POINT (2757981.5813907534 1256966.8856657227),,node
